"Source:","/Users/owhite/DifferentialSPIEncoder/Master/DifferentialSPIMaster.sch"
"Date:","Thursday, November 07, 2019 at 09:29:36 AM"
"Tool:","Eeschema (5.1.4-0)"
"Generator:","/private/var/folders/p8/m441knk55_94tz2zwckt5mqr0000gq/T/AppTranslocation/65CF006E-3F63-4F75-8756-9BEF088E1F83/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","37"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MANUFACTURER","MFN"
"","","C1","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/KEMET/C0805C104K8RACTU?qs=%2Fha2pyFadugbjD%2F0nhYM2xodsIRbQqWOGB2kZbxyk44WEp3J7x0DyQ%3D%3D","KEMET","C0805C104K8RACTU"
"","","C2","2.2pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/KEMET/C0805C229C5GACTU?qs=sGAEpiMZZMs0AnBnWHyRQOf5HOpVaXbhFR3RVpI2kPg%3D","KEMET","C0805C229C5GACTU"
"","","C3","2.2pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/KEMET/C0805C229C5GACTU?qs=sGAEpiMZZMs0AnBnWHyRQOf5HOpVaXbhFR3RVpI2kPg%3D","KEMET","C0805C229C5GACTU"
"","","C4","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/KEMET/C0805C104K8RACTU?qs=%2Fha2pyFadugbjD%2F0nhYM2xodsIRbQqWOGB2kZbxyk44WEp3J7x0DyQ%3D%3D","KEMET","C0805C104K8RACTU"
"","","C5","2.2pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/KEMET/C0805C229C5GACTU?qs=sGAEpiMZZMs0AnBnWHyRQOf5HOpVaXbhFR3RVpI2kPg%3D","KEMET","C0805C229C5GACTU"
"","","C6","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/KEMET/C0805C104K8RACTU?qs=%2Fha2pyFadugbjD%2F0nhYM2xodsIRbQqWOGB2kZbxyk44WEp3J7x0DyQ%3D%3D","KEMET","C0805C104K8RACTU"
"","","C7","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/KEMET/C0805C104K8RACTU?qs=%2Fha2pyFadugbjD%2F0nhYM2xodsIRbQqWOGB2kZbxyk44WEp3J7x0DyQ%3D%3D","KEMET","C0805C104K8RACTU"
"","","C8","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/KEMET/C0805C104K8RACTU?qs=%2Fha2pyFadugbjD%2F0nhYM2xodsIRbQqWOGB2kZbxyk44WEp3J7x0DyQ%3D%3D","KEMET","C0805C104K8RACTU"
"","","C9","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/KEMET/C0805C104K8RACTU?qs=%2Fha2pyFadugbjD%2F0nhYM2xodsIRbQqWOGB2kZbxyk44WEp3J7x0DyQ%3D%3D","KEMET","C0805C104K8RACTU"
"","","C10","2.2pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/KEMET/C0805C229C5GACTU?qs=sGAEpiMZZMs0AnBnWHyRQOf5HOpVaXbhFR3RVpI2kPg%3D","KEMET","C0805C229C5GACTU"
"","","C11","2.2pF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/KEMET/C0805C229C5GACTU?qs=sGAEpiMZZMs0AnBnWHyRQOf5HOpVaXbhFR3RVpI2kPg%3D","KEMET","C0805C229C5GACTU"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.5mm","","",""
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.5mm","","",""
"","","J1","Motor Encoder 0","Connector:8P8C_Shielded","Connector_RJ:RJ45_Amphenol_RJHSE5380","https://www.mouser.com/ProductDetail/Amphenol-Commercial-Products/RJHSE-5380?qs=rM3ofmSYd5RUaPrWD7oMhw%3D%3D","Amphenol Commercial Products","RJHSE5380"
"","","J2","Conn_01x20","Connector_Generic:Conn_01x20","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","","",""
"","","J3","Motor Encoder 0","Connector:8P8C_Shielded","Connector_RJ:RJ45_Amphenol_RJHSE5380","https://www.mouser.com/ProductDetail/Amphenol-Commercial-Products/RJHSE-5380?qs=rM3ofmSYd5RUaPrWD7oMhw%3D%3D","Amphenol Commercial Products","RJHSE5380"
"","","NT1","Net-Tie_2","Device:Net-Tie_2","NetTie:NetTie-2_SMD_Pad0.5mm","","",""
"","","R1","120","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805JR-07120RL?qs=sGAEpiMZZMu61qfTUdNhG2gsBIEdmNID0VVuxMUL8GE%3D","Yageo","AC0805JR-07120RL"
"","","R2","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805FR-7W1KL?qs=%2Fha2pyFaduielNz2skYJt%252Bm0pGFhQbVC6AWLULl38pezPMTi2KU2wA%3D%3D","Yageo","AC0805FR-7W1KL"
"","","R3","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805FR-7W1KL?qs=%2Fha2pyFaduielNz2skYJt%252Bm0pGFhQbVC6AWLULl38pezPMTi2KU2wA%3D%3D","Yageo","AC0805FR-7W1KL"
"","","R4","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805FR-7W1KL?qs=%2Fha2pyFaduielNz2skYJt%252Bm0pGFhQbVC6AWLULl38pezPMTi2KU2wA%3D%3D","Yageo","AC0805FR-7W1KL"
"","","R5","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805FR-7W1KL?qs=%2Fha2pyFaduielNz2skYJt%252Bm0pGFhQbVC6AWLULl38pezPMTi2KU2wA%3D%3D","Yageo","AC0805FR-7W1KL"
"","","R6","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805FR-7W1KL?qs=%2Fha2pyFaduielNz2skYJt%252Bm0pGFhQbVC6AWLULl38pezPMTi2KU2wA%3D%3D","Yageo","AC0805FR-7W1KL"
"","","R7","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805FR-7W1KL?qs=%2Fha2pyFaduielNz2skYJt%252Bm0pGFhQbVC6AWLULl38pezPMTi2KU2wA%3D%3D","Yageo","AC0805FR-7W1KL"
"","","R8","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805FR-7W1KL?qs=%2Fha2pyFaduielNz2skYJt%252Bm0pGFhQbVC6AWLULl38pezPMTi2KU2wA%3D%3D","Yageo","AC0805FR-7W1KL"
"","","R9","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805FR-7W1KL?qs=%2Fha2pyFaduielNz2skYJt%252Bm0pGFhQbVC6AWLULl38pezPMTi2KU2wA%3D%3D","Yageo","AC0805FR-7W1KL"
"","","R10","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805FR-7W1KL?qs=%2Fha2pyFaduielNz2skYJt%252Bm0pGFhQbVC6AWLULl38pezPMTi2KU2wA%3D%3D","Yageo","AC0805FR-7W1KL"
"","","R11","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805FR-7W1KL?qs=%2Fha2pyFaduielNz2skYJt%252Bm0pGFhQbVC6AWLULl38pezPMTi2KU2wA%3D%3D","Yageo","AC0805FR-7W1KL"
"","","R12","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805FR-7W1KL?qs=%2Fha2pyFaduielNz2skYJt%252Bm0pGFhQbVC6AWLULl38pezPMTi2KU2wA%3D%3D","Yageo","AC0805FR-7W1KL"
"","","R13","120","Device:R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805JR-07120RL?qs=sGAEpiMZZMu61qfTUdNhG2gsBIEdmNID0VVuxMUL8GE%3D","Yageo","AC0805JR-07120RL"
"","","R14","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://www.mouser.com/ProductDetail/Yageo/AC0805FR-7W1KL?qs=%2Fha2pyFaduielNz2skYJt%252Bm0pGFhQbVC6AWLULl38pezPMTi2KU2wA%3D%3D","Yageo","AC0805FR-7W1KL"
"","","U1","MAX485E","Interface_UART:MAX485E","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.mouser.com/ProductDetail/Maxim-Integrated/MAX485ESA%2b?qs=sGAEpiMZZMuXae9YOZoWd9EBnNihOkMOJLDcRh71%2FZA%3D","Maxim Integrated","MAX485E"
"","","U2","MAX485E","Interface_UART:MAX485E","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.mouser.com/ProductDetail/Maxim-Integrated/MAX485ESA%2b?qs=sGAEpiMZZMuXae9YOZoWd9EBnNihOkMOJLDcRh71%2FZA%3D","Maxim Integrated","MAX485E"
